Model-Split,Ablation,Type,Time,Count
GAT-Randomsplit,no_features,FN,5,4
GAT-Randomsplit,no_features,FN,6,49
GAT-Randomsplit,no_features,FN,7,1
GAT-Randomsplit,no_features,FN,8,8
GAT-Randomsplit,no_features,FN,9,4
GAT-Randomsplit,no_features,FN,10,7
GAT-Randomsplit,no_features,FN,11,24
GAT-Randomsplit,no_features,FN,13,3
GAT-Randomsplit,no_features,FN,14,24
GAT-Randomsplit,no_features,FN,15,1
GAT-Randomsplit,no_features,FN,19,1
GAT-Randomsplit,no_features,FN,20,2
GAT-Randomsplit,no_features,FN,21,3
GAT-Randomsplit,no_features,FN,25,2
GAT-Randomsplit,no_features,FN,26,1
GAT-Randomsplit,no_features,FN,29,3
GAT-Randomsplit,no_features,FN,31,3
GAT-Randomsplit,no_features,FN,32,1
GAT-Randomsplit,no_features,FN,33,2
GAT-Randomsplit,no_features,FN,34,5
GAT-Randomsplit,no_features,FN,35,3
GAT-Randomsplit,no_features,FN,36,14
GAT-Randomsplit,no_features,FN,37,1
GAT-Randomsplit,no_features,FN,38,5
GAT-Randomsplit,no_features,FN,39,2
GAT-Randomsplit,no_features,FN,40,9
GAT-Randomsplit,no_features,FN,41,201
GAT-Randomsplit,no_features,FN,42,13
GAT-Randomsplit,no_features,FN,43,2
GAT-Randomsplit,no_features,FN,44,2
GAT-Randomsplit,no_features,FN,45,3
GAT-Randomsplit,no_features,FN,46,14
GAT-Randomsplit,no_features,FN,47,3
GAT-Randomsplit,no_features,FN,48,101
GAT-Randomsplit,no_features,FP,1,176
GAT-Randomsplit,no_features,FP,2,6
GAT-Randomsplit,no_features,FP,3,7
GAT-Randomsplit,no_features,FP,4,199
GAT-Randomsplit,no_features,FP,5,14
GAT-Randomsplit,no_features,FP,6,183
GAT-Randomsplit,no_features,FP,7,9
GAT-Randomsplit,no_features,FP,8,32
GAT-Randomsplit,no_features,FP,9,18
GAT-Randomsplit,no_features,FP,10,31
GAT-Randomsplit,no_features,FP,11,70
GAT-Randomsplit,no_features,FP,12,3
GAT-Randomsplit,no_features,FP,13,10
GAT-Randomsplit,no_features,FP,14,112
GAT-Randomsplit,no_features,FP,15,2
GAT-Randomsplit,no_features,FP,16,1
GAT-Randomsplit,no_features,FP,17,2
GAT-Randomsplit,no_features,FP,18,2
